"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata",0.000221149659041943,NA,0.0127115358520558,0.011164392113005,0.050983539994378,0.00481319965535114,NA,0.0410807902057536,0.0321088164068267,0.0166362844421501,0.00331502023183706,NA,0.0309844885821393,0.0139124487497834,0.0258652671548436,0.00484132712201737,NA,0.0545040343190788,0.0100712117173023,0.0399088179695319,0.00474178723599851,NA,0.0523399414847044,0.00949104085635451,0.0377807346477965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia solanicola",0.236890043021588,NA,0.00762183301994689,0.0408997631369322,0.0122628603554362,0.0749281156224312,NA,0.0104305073375063,0.0881103810069813,0.0250330709169517,0.0759945375931364,NA,0.0145836644897449,0.0205352760293353,0.0233348861366788,0.117610830435448,NA,0.062100328313671,0.0911958401670336,0.0410177612890834,0.108627721684915,NA,0.0590629096148035,0.0858585664858728,0.0374581670093948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acyrthosiphon kondoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107490696663868,NA,NA,NA,NA,NA,NA,NA
"4","Amischa analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014034947018075
"5","Aphis craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00275650842266462,NA,NA,0.00875858634779228,NA,NA
"6","Aphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000287382248465345
"7","Aphis varians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00538340467764734
"8","Aploneura spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156099736581695,NA,NA,NA,0.000218770509735288,NA,NA,0.00693729152313454,NA,0.00110608749118639
"9","Artoriopsis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439625773739818,NA,NA,NA,NA,NA
"10","Bactericera cockerelli",0.00171903961770748,NA,0.0533455618663617,0.000930219472008131,NA,0.000962309807637076,NA,0.00203631950066317,0.000258849290273594,NA,NA,NA,0.00325208481645018,0.00195526794479413,NA,0.000701616254401505,NA,0.032653807068096,NA,NA,0.000618886545948222,NA,0.0311634684699086,NA,NA,0.12343958336237,NA,NA,0.263290869666228,NA,NA,0.400076555404488,0.00022851451919863,NA,NA
